idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
0,"Налогоплательщик – это человек, который платит налоги. Налоги — это суммы денег, которые люди или предприятия должны платить правительству для финансирования государственных услуг и программ. Налогоплательщики могут включать физических лиц, такие как граждане или резиденты страны, а также юридические лица, такие как компании или организации.","Налогоплательщик — это физическое или юридическое лицо, а также их структурные подразделения, на которых в соответствии с Налоговым кодексом возложена обязанность по уплате налогов и иных обязательных платежей в бюджет.",28,85,94.69067042693496,0.897659712585809,0.72419465,0.70492166,0.71442825
1,"Налоговое обязательство включает в себя обязанность по уплате налогов, которая может включать: 
1. Налоги на заработную плату и доходы.
2. Налоги на бизнес или корпоративные налоги.
3. Прямые налоги, такие как подоходный налог, налог с продаж и акцизный налог.
4. Налоги на имущество, включая земельные налоги и налоги на недвижимость.
5. Дополнительные сборы или платежи, которые могут быть обязательными для определенных типов бизнеса или лиц.

Обязанности по уплате налогов различаются в зависимости от страны или штата и конкретных обстоятельств человека или предприятия. Важно знать о своих налоговых обязанностях и соблюдать их соответствующим образом, чтобы избежать любых правовых последствий. Обычно это подразумевает сбор всех необходимых документов для подачи налоговой декларации и уплату требуемого налога до установленных сроков. Налоги на заработную плату обычно снимаются непосредственно с зарплаты работника, в то время как другие налоги обычно рассчитываются на основе финансовой информации компании или индивидуала. В некоторых случаях налоговые обязательства также могут включать соблюдение определенных правил и положений для получения налоговых льгот или кредитов, таких как вычеты или инвестиционные стимулы.","Налоговое обязательство включает в себя обязанности налогоплательщика по исчислению, удержанию (если требуется), своевременной уплате налогов и предоставлению налоговой отчетности в установленный срок.",31,321,307.8061583559029,1.0428641249888235,0.62316895,0.7348697,0.67442554
2,"Налогоплательщик имеет право на получение уведомления о необходимости уплаты налога, подаче налоговой декларации, получении квитанции за уплату налога и возврате превышающих сумм. Налогопланировщик также может подать апелляцию против решения налогового органа, обратиться в суд с иском о защите своих прав или отстаивать свои права в процедурах администрирования. Кроме того, налогоплательщик имеет право на получение информации о своем налоговом состоянии и доступ к документам, связанным со своим налоговым счетом. Наконец, налогоплайкер имеет право на конфиденциальность своих налоговых данных. Это основные права налогоплательщика, но могут быть дополнительные особенности в зависимости от юрисдикции или страны. Важно отметить, что конкретные права могут различаться в разных странах и регионах. Всегда полезно ознакомиться с местными законами и правилами для получения точной информации о правах налогоплайкеров. В целом, налогопланировщик имеет право на справедливое отношение, прозрачность и защиту своих прав в процессе уплаты налогов. Это гарантирует им возможность выполнять свои финансовые обязанности по уплате налогов в соответствии с законом, при этом их права защищены. Кроме того, эти права помогают поддерживать доверие между гражданами и государством, поскольку они обеспечивают прозрачность и подотчетность процессу уплаты налогов. В целом, налогоплайкеры имеют право на получение уведомления о необходимости уплаты налога, подачи налоговой декларации, получения квитанции за уплату налога, возврата превышающих сумм и защиты своих прав в процессе администрирования. Эти права гарантируют справедливое отношение и прозрачность процесса уплаты налога, поддерживая доверие между гражданами и государством. Кроме того, налогоплайкеры имеют право на конфиденциальность своих налоговых данных, что обеспечивает защиту их финансовой информации от несанкционированного доступа или раскрытия. Это дополнительно усиливает доверие к процессу","Налогоплательщик имеет право получать разъяснения налогового законодательства, защищать свои интересы, обжаловать действия налоговых органов, получать информацию о своих налоговых обязательствах и использовать налоговые льготы.",30,512,488.7114983838983,1.0476528620527932,0.619186,0.7453163,0.6764216
3,"Налогоплайлер обязан платить налоги, уплачивать имущественные и земельные налоги, платить государственные сборы и другие платежи, которые могут быть возложены на него по закону. Налогоплайлер также должен предоставлять налоговую отчетность в соответствии с требованиями законодательства.","Налогоплательщик обязан своевременно и в полном объеме уплачивать налоги, предоставлять налоговую отчетность, хранить документы, подтверждающие исполнение налогового обязательства, и соблюдать требования законодательства.",35,73,77.43697122717276,0.9427021594871492,0.77928394,0.7876465,0.78344285
4,"Налоговый кодекс Республики Казахстан устанавливает следующие налоги: подоходный налог, налог на имущество, земельный налог и другие.","Налоговым кодексом установлены налоги на доходы, налоги на имущество, налоги на потребление (например, НДС и акцизы), налоги на использование ресурсов (например, налог на землю) и специальные виды налогов.",39,36,45.44762537581846,0.7921205938111499,0.7899791,0.7676293,0.77864385
5,"Корпоративный подоходный налог (КПН) — это налог, который взимается с прибыли предприятия. Он рассчитывается исходя из размера прибыли компании за определенный период времени, как правило, за год. КПН обычно взимается правительством и используется для финансирования государственных расходов, таких как инфраструктура, образование и здравоохранение. Сумма налога, которую должна уплатить компания, определяется ее налоговой ставкой, которая варьируется в зависимости от страны или штата. В некоторых странах также может быть дополнительный налог для предприятий с более высокой прибылью. Налогоплательщики могут облагаться КПН как через ежегодное подачу декларации о доходе, так и через автоматическое начисление и вычет налога. Корпоративные налоговые льготы также доступны в некоторых юрисдикциях для предприятий, которые инвестируют в определенные виды деятельности или местоположения. Некоторые страны предлагают налоговые вычеты на расходы, связанные с исследованиями и разработками, поскольку правительства считают, что эти инвестиции могут привести к новым инновациям и росту экономики. Однако другие юрисдикции могут взимать более высокие налоги для предприятий, которые занимаются определенными видами деятельности или расположены в определенных местах. Наконец, корпоративный подоходный налог (КПН) также может использоваться для финансания социальных программ и благосостояния населения. Например, правительства могут использовать КПН для финансирования социальной защиты и пенсий, которые предоставляются бывшим сотрудникам предприятий. Это способ гарантировать, что работники получат финансовую поддержку после выхода на пенсию или в случае потери рабочего места. В целом, корпоративный подоходный налог (КПН) является важным источником дохода для правительств и используется для финансирования различных государственных программ и услуг. Он также может быть инструментом политики, используемым правительством для стимулирования определенных видов деятельности или инвестиций в экономику. Поэтому компании должны учитывать налоговые последствия своих операций при принятии бизнес-решений и плани","Корпоративный подоходный налог — это налог, взимаемый с доходов юридических лиц, резидентов Республики Казахстан, а также нерезидентов, осуществляющих деятельность через постоянное учреждение в стране.",35,512,491.3452763282694,1.0420370860712846,0.60738975,0.7144391,0.6565797
6,"Специальный налоговый режим (СРР) — это система налогообложения, при которой предприятие платит налог только на чистый доход. Налоговая ставка обычно составляет 20%, но может варьиться в зависимости от конкретных условий, установленных правительством или местными органами власти.

При SRP компании должны регистрироваться и подавать декларацию о доходах и вычетах, как это требуется для обычной системы налогообложения. Однако в отличие от нее, они не платят налог на свой чистый доход, который является суммой прибыли за вычетом всех расходов, связанных с ее получением.

Например, если компания имеет чистый доход в размере 100 000 рублей, она будет платить налоги только по этой сумме. Если бы они использовали обычную систему налогообложения, им пришлось бы рассчитать свой общий доход и вычесть все расходы, прежде чем платить налог на оставшуюся сумму.

SRP разработан для стимулирования предприятий к увеличению своей деятельности и инвестиций. Это потому, что они не платят налог сразу, а только после того, как получили прибыль от своих операций.

Этот режим обычно используется в странах с переходной экономикой или развивающимися рынками, где правительство стремится улучшить деловую среду и привлечь инвестиции. Однако он также может быть применен к определенным отраслям промышленности или территориям, где правительство хочет продвигать развитие.

В целом, SRP — это налоговый режим, который позволяет предприятиям платить налоги только по чистому доходу, что может быть выгодно для них в некоторых случаях. Однако он также требует от компаний соблюдения определенных правил и условий, установленных правительством или местными органами власти.","Специальный налоговый режим — это установленная Кодексом упрощённая система налогообложения и отчетности для отдельных категорий налогоплательщиков, направленная на снижение административной нагрузки.",29,418,397.2793022952974,1.0521564994324848,0.6040749,0.7093815,0.6525067
7,"Налоговая ответственность возникает при совершении следующих действий: 1. Получение дохода: Налоговая ответственность возникает, когда лицо получает доход, который является объектом налогообложения в соответствии с налоговым законодательством. Это включает зарплату, проценты, дивиденды, алименты и т.д. 2. Покупка или продажа имущества: Налоговая ответственность возникает при совершении операций с недвижимостью (например, покупки, продажи, подарков). В зависимости от типа собственности может возникать налог на имущество, налог на регистрацию права собственности и/или налог на наследство. 3. Расходы: Налоговая ответственность возникает при совершении расходов, которые могут быть вычитаемыми из налогооблагаемой базы в соответствии с положениями налогового законодательства. 4. Взимание платы или возмещение затрат: Налоговая ответственность возникает при взимании платы за услуги или возмещении стоимости товаров и услуг, которые оказаны или приобретены для личного пользования. 5. Обмен или подарок имущества: Налоговая ответственность возникает при обмене или дарении имущества в рамках налогового законодательства. Важно отметить, что конкретные события и условия, которые вызывают налоговую ответственность, могут различаться в зависимости от юрисдикции и типа налога. Всегда рекомендуется проконсультироваться с налоговым специалистом или использовать надежный онлайн-ресурс для получения актуальной информации о налоговой ответственности в вашей стране.","Налоговая ответственность наступает в случае неуплаты налогов, несвоевременного предоставления налоговой отчетности, сокрытия доходов, неправомерного применения льгот или занижения налоговой базы.",31,374,358.3042960506864,1.0438055142578957,0.6304419,0.71551603,0.6702903
8,"Когда налогоплайнер не платит налоги вовремя, он может быть подвергнут штрафам и процентам. Размеры этих сборов могут варьироваться в зависимости от количества дней, на которые был просрочен платеж. Кроме того, IRS может начать процесс взыскания долга, который может включать удержание налогового возврата или даже судебные иски. В некоторых случаях неуплата налогов вовремя может также привести к учетному списанию, что означает, что IRS может отменить все вычеты или кредиты, которые налогоплайнер может иметь право на них. В целом, неуплата налогов в срок может быть дорогостоящей и потенциально привести к серьезным финансовым последствиям. Рекомендуется всегда платить налоги вовремя, чтобы избежать этих возможных штрафов и проблем с IRS.","В случае неуплаты налогов в срок образуется недоимка, на которую начисляется пеня. При дальнейшем уклонении возможно принудительное взыскание задолженности через меры обеспечения исполнения налогового обязательства.",32,200,195.80265111476183,1.0214366294906705,0.65184563,0.7195127,0.6840097
9,"Недоимка по налогам — это сумма налога, которую вы должны выплатить после учета всех корректировок и кредитов. Налоговая недоимка возникает в результате ошибки на стороне налогоплательщика или неправильного расчета дохода. Крайне важно убедиться, что все ваши налоговые документы и отчеты точны, чтобы избежать неопределенности при заполнении налоговой формы. Если вы недоимка по налогу, вы можете быть оштрафованы или лишены права на определенные налоговые льготы. Чтобы избежать этих проблем, важно убедиться, что ваша налоговая отчетность точна и актуальна.","Недоимка по налогам — это сумма налогов и обязательных платежей в бюджет, которая не была уплачена налогоплательщиком в установленный законодательством срок.",30,160,155.4870475777425,1.0290246196873798,0.6757787,0.76653606,0.7183019
