idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
0,"Налогоплательщиком является физическое лицо, индивидуальный предприниматель или юридическое лицо, облагаемое налогами.","Налогоплательщик — это физическое или юридическое лицо, а также их структурные подразделения, на которых в соответствии с Налоговым кодексом возложена обязанность по уплате налогов и иных обязательных платежей в бюджет.",28,35,14.150285221170634,2.473448375982947,0.7969081,0.7058317,0.74861
1,"Налоговое обязательство включает в себя обязанность по уплате налогов, которая может включать облагаемый доход, налоги на заработную плату и другие виды налогов. В нем также могут быть представлены такие права, как право на льготы или возвраты, а также любые применимые ограничения или исключения. Налоговое обязательство может зависеть от таких факторов, как гражданство, резидентство и тип дохода. Например, налоговая обязанность в Соединенных Штатах определяется Законом о подоходном налоге с физических лиц 1954 года, который требует от всех физических лиц уплачиваты налог на свой доход, при этом налогооблагаемый доход определяется как общий доход, минус определенные вычеты. Существуют также другие законы и правила, которые могут влиять на налоговую обязанность, такие как Закон о доходах физических лиц 1986 года, который ввел так называемые «стимулы», или скидки, для определенных инвестиций или расходов. В целом, налоговая обязательность — это юридическое и этическое требование для всех физических лиц и предприятий уплачивать соответствующие налоги на свой доход в соответствии с применимым законодательством. Налоговые льготы могут иметь форму налоговых кредитов или налоговых возвратов. Налоговый кредит обычно означает, что вы получаете сумму денег назад от правительства в виде кредита, который вы можете использовать для оплаты своих налогов. Например, если у вас есть налогооблагаемый доход в размере 10 000 долларов и вы имеете право на налоговый кредит в размере 1 000 долларов, ваша налоговая обязанность будет составлять $9,000 (предполагая, что у вас нет других налоговых льгот или обязательств). С другой стороны, налоговые возвраты обычно означают, что вы получаете сумму денег от правительства, потому что вы уплачивали больше налогов, чем вам было положено по закону. Например, если у вас есть налогооблагаемый доход в размере 10 000 доллар и вы имеете право на налоговый возврат в размере 1 000","Налоговое обязательство включает в себя обязанности налогоплательщика по исчислению, удержанию (если требуется), своевременной уплате налогов и предоставлению налоговой отчетности в установленный срок.",31,512,191.35200272779912,2.675697106386324,0.60433567,0.7107061,0.65321887
2,"Налогоплательщик имеет право на получение уведомления о необходимости уплаты налога, подаче налоговой декларации, получении квитанции о выданной сумме налога. Если в результате проверки выявлены ошибки, то они будут устранены и возврат будет произведен по неправильно взысканной сумме. Кроме того, налогоплайлер может рассчитать налоговое обязательство самостоятельно через онлайн-интернет-сервис или обратиться за консультацией к профессиональному юристу.","Налогоплательщик имеет право получать разъяснения налогового законодательства, защищать свои интересы, обжаловать действия налоговых органов, получать информацию о своих налоговых обязательствах и использовать налоговые льготы.",30,127,47.00697667011991,2.7017266158435547,0.7031249,0.7797957,0.73947823
3,"Налогоплайлер обязан платить налоги, сообщать о своей доходности и своем имуществе в государственные органы. Если налогоплательщик не выполняет свои обязанности, он может столкнуться с штрафами и другими негативными последствиями. Важно понимать свои налоговые обязательства и принимать соответствующие меры для их выполнения. Крайне важно знать о всех льготах и вычетах, на которые вы имеете право, так как это может помочь снизить ваш общую налоговую нагрузку. Если у вас есть какие-либо сомнения по поводу ваших обязательств или вы хотите быть уверены в том, что все сделано правильно, всегда полезно обратиться за советом к профессиональному бухгалтеру или юристу. Важно соблюдать свои налоговые обязательства, чтобы поддерживать справедливую и прозрачную систему. Налоги играют важную роль в финансирование государственных услуг и инфраструктуры, поэтому крайне важно платить свои налоги вовремя и точно. Кроме того, налогоплайлеры должны быть осведомлены о любых изменениях или обновлениях в налоговом законодательстве, так как эти изменения могут повлиять на их налогооблагаемый доход и налоговые обязательства. В целом, налогоплайлеры несут ответственность за выполнение своих налоговых обязательств и обеспечение того, чтобы они платили свои налоги правильно и своевременно. Это важная обязанность, которая помогает поддерживать справедливую и прозрачную систему и финансировать государственные услуги и инфраструктууы.","Налогоплательщик обязан своевременно и в полном объеме уплачивать налоги, предоставлять налоговую отчетность, хранить документы, подтверждающие исполнение налогового обязательства, и соблюдать требования законодательства.",35,369,136.53223689273,2.7026584226398795,0.62239355,0.7329387,0.67315793
4,"Налоговый кодекс Республики Казахстан устанавливает следующие налоги: подоходный налог, налог на имущество, налог на имущество, земельный налог, налог на добавленную стоимость, акциз, налог на игры, налог на страхование, налог на оборот (налог с продаж), а также другие специальные налоги. .","Налоговым кодексом установлены налоги на доходы, налоги на имущество, налоги на потребление (например, НДС и акцизы), налоги на использование ресурсов (например, налог на землю) и специальные виды налогов.",39,82,30.74627852300182,2.6669894354418986,0.8063928,0.81303084,0.80969816
5,"Корпоративный подоходный налог (КПН) — это налог, который взимается с прибыли предприятия. Он обычно составляет процент от общей прибыли компании и рассчитывается в зависимости от страны или региона, где работает компания. Целью КПН является обеспечение того, чтобы компании платили свою справедливую долю налогов на свои доходы, а также предотвращение уклонения от уплаты налогов. Существуют различные ставки и правила для КПН в разных странах, поэтому важно изучить конкретные требования в вашей юрисдикции. Например, в США ставка корпоративного подоходного налога составляет 21%. В других странах может быть более высокая или более низкая ставка в зависимости от местных правил. Компании могут использовать различные методы для учета и уплаты своих КПН, включая декларацию налогов, использование налоговых льгот и оптимизацию своей налоговой стратегии. В целом, КПН является важным аспектом финансовой планировки любой компании, поскольку он может влиять на ее прибыльность и долговую нагрузку. Компании должны работать с бухгалтерами или налоговыми специалистами для обеспечения точного и эффективного учета своих корпоративных подоходных налогов. В некоторых случаях компании могут иметь возможность снизить свои КПН, используя различные налоговые льготы или инвестируя в определенные активы или бизнес-операции. Однако важно соблюдать применимые правила и избегать мошенничества или уклонения от уплаты налогов при попытке минимизировать свои КПN. Корпоративный подоходный налог (CPT) может также быть известен как налог на прибыль предприятия, налоги на доходы предприятий или корпоративные налоги. Он относится к любым налогам, которые взимаются с доходов компании и могут включать другие типы налогов, такие как налоги на имущество или налоги на продажу. В целом, CPT является важной частью финансового планирования любой компании и должен учитываться при принятии стратегических решений относительно прибыльности, инвестиций и долговой нагрузки. Компании должны работать с бухгалтерами и другими финансовыми специалистами","Корпоративный подоходный налог — это налог, взимаемый с доходов юридических лиц, резидентов Республики Казахстан, а также нерезидентов, осуществляющих деятельность через постоянное учреждение в стране.",35,512,190.8512044940144,2.6827182011107387,0.5990719,0.7111133,0.65030193
6,"Специальный налоговый режим (СРМ) — это система налогообложения, при которой предприятие или частное лицо освобождаются от уплаты обычных налогов в обмен на выполнение определенных требований, установленных законодательством. Эти требования могут включать соблюдение определенных правил поведения, передачу активов государственуправительству, создание рабочих мест для граждан или другие условия.

СРМ обычно применяется в странах с переходной экономикой, где правительства стремятся привлечь иностранные инвестиции и стимулировать развитие отраслей промышленности. Он также может применяться в странах с ограниченными ресурсами, которые хотят поощрить местные инвестиции.

СРМ может быть более сложным для предприятий или частных лиц, которым необходимо соответствовать определенным требованиям, но он также может предоставлять значительные налоговые льготы и потенциальные выгоды. Однако важно тщательно оценить условия СРМ перед его принятием, чтобы убедиться, что они подходят для конкретного предприятия или частного лица и отвечают их целям.

Существует несколько различных типов СРМ, включая специальный налоговый режим для инвестиций (СРИ), специальный налоговый режим для экспорта (СРЕ) и специальный налоговый режим для регионов развития (СРР). Каждый из этих режимов имеет свои собственные условия и требования.

В целом, СРМ — это мощный инструмент правительств, используемый для стимулирования экономического роста и инвестиций. Он может предоставить предприятиям или частным лицам значительные налоговые льготы в обмен на выполнение определенных требований, что может быть особенно полезно в переходных экономиках или странах с ограниченными ресурсами. Однако важно тщательно оценить условия СРМ перед его принятием, чтобы убедиться, что они подходят для конкретного предприятия или частного лица и отвечают их целям.","Специальный налоговый режим — это установленная Кодексом упрощённая система налогообложения и отчетности для отдельных категорий налогоплательщиков, направленная на снижение административной нагрузки.",29,445,165.60357747599485,2.6871400170355937,0.5888033,0.7194823,0.6476163
7,"Налоговая ответственность возникает при совершении следующих действий: 1. Получение дохода: Налоговая ответственность возникает, когда лицо получает доход, который является объектом налогообложения, например, заработная плата, дивиденды или проценты. 2. Регистрация в налоговой службе: Если лицо регистрируется в налоговой службе как самозанятый работник или предприниматель, оно становится ответственным за уплату налога на доход до вычета подоходного налога (PAYE). 3. Предоставление услуг по аренде или продаже: Если лицо предоставляет услуги по арендной плате или продает товары, они становятся ответственными за уплату налога с продаж и акциза. 4. Имущество: Налоговая ответственность возникает при владении имуществом или инвестициями, такими как недвижимость или ценные бумаги. 5. Трансфер дохода: Если лицо получает доход от других источников, таких как аренда, роялти или заработная плата по контракту, оно становится ответственным за уплату налога на этот доход. Налоговая ответственность также возникает при выполнении налоговых обязательств, таких как подача деклараций о доходах и уплата соответствующих налогов до истечения сроков их оплаты. Важно отметить, что конкретные налоговые требования могут различаться в зависимости от страны или региона, поэтому рекомендуется проконсультироваться с местными налоговыми органами для получения более подробной информации.","Налоговая ответственность наступает в случае неуплаты налогов, несвоевременного предоставления налоговой отчетности, сокрытия доходов, неправомерного применения льгот или занижения налоговой базы.",31,358,132.58085028920323,2.700239131209991,0.62707096,0.72074425,0.67065245
8,"Когда налогоплайнер не платит налоги вовремя, он может быть подвергнут штрафам и процентам. Размеры этих сборов будут зависеть от суммы непогашенного долга и количества дней просрочки. Кроме того, IRS может начать процесс взыскания, что включает в себя изъятие активов или даже отчуждение имущества для оплаты задолженности по налогам. В некоторых случаях, налогоплайнер может столкнуться с судебными разбирательствами и другими правовыми последствиями за неуплату налогов вовремя. Всегда важно заплатить налоги вовремя, чтобы избежать этих потенциальных штрафов и последствий.","В случае неуплаты налогов в срок образуется недоимка, на которую начисляется пеня. При дальнейшем уклонении возможно принудительное взыскание задолженности через меры обеспечения исполнения налогового обязательства.",32,165,61.03023424884304,2.7035780221198795,0.66747224,0.7219107,0.693625
9,"Недоимка по налогам — это сумма налога, которую вы должны выплатить после проверки вашего подачи. Это может произойть, если вы заявили о меньшую сумму, чем вам приходится платить, или если у вас возникли ошибки в вашей декларации. Недоимка по налогам — это не штраф за налоговую амнистию. Вместо этого, это просто баланс, который необходимо выплатить, чтобы получить официальное разрешение от IRS (Налоговая служба США). Если у вас есть недоимка по налогам, вам следует рассмотреть возможность погашения ее как можно скорее, так как уплата задолженности может повлечь за собой штрафы и проценты. Чтобы узнать о любых текущих налогах или других финансовых вопросах, посетите сайт IRS или свяжитswire с налоговым консультантом.","Недоимка по налогам — это сумма налогов и обязательных платежей в бюджет, которая не была уплачена налогоплательщиком в установленный законодательством срок.",30,210,77.18333469191566,2.7207945968936715,0.644297,0.7285054,0.68381846
