idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
0,"Тот, кто уплачивает налог.","Налогоплательщик — это физическое или юридическое лицо, а также их структурные подразделения, на которых в соответствии с Налоговым кодексом возложена обязанность по уплате налогов и иных обязательных платежей в бюджет.",28,11,4.164381238166243,2.6414488421919256,0.73121613,0.6213124,0.67179894
1,"Далее следует указание размера обязательного налогового взноса. При этом не учитывается сумма, полученная в качестве дивидендов. К таким доходам относятся прибыль и пассивы, а также доход от продажи акций или принадлежности.","Налоговое обязательство включает в себя обязанности налогоплательщика по исчислению, удержанию (если требуется), своевременной уплате налогов и предоставлению налоговой отчетности в установленный срок.",31,61,11.09035845892504,5.500273072860855,0.6612504,0.68302166,0.6719597
2,Налогоплательщик имеет право обжаловать налоговое решение в арбитражном суде. Права и обязанности налогоплательщика:,"Налогоплательщик имеет право получать разъяснения налогового законодательства, защищать свои интересы, обжаловать действия налоговых органов, получать информацию о своих налоговых обязательствах и использовать налоговые льготы.",30,37,7.159261167049408,5.168131059430124,0.79810685,0.7490121,0.77278054
3,Налогоплательщик обязан предоставить налоговому органу необходимые документы. Также он обязан выслать платежную информацию. Контроль осуществляется в соответствии с законодательством.,"Налогоплательщик обязан своевременно и в полном объеме уплачивать налоги, предоставлять налоговую отчетность, хранить документы, подтверждающие исполнение налогового обязательства, и соблюдать требования законодательства.",35,44,8.568267059978098,5.135227426035956,0.77456343,0.73811954,0.7559025
4,"Налог на прибыль, НДС.","Налоговым кодексом установлены налоги на доходы, налоги на имущество, налоги на потребление (например, НДС и акцизы), налоги на использование ресурсов (например, налог на землю) и специальные виды налогов.",39,10,3.3376091131940484,2.9961567280208348,0.76545286,0.66307616,0.710596
5,"КПН — сумма налога, которая исчисляется на прибыль компании. Налог уменьшает вычеты по налоговым освобождениям.","Корпоративный подоходный налог — это налог, взимаемый с доходов юридических лиц, резидентов Республики Казахстан, а также нерезидентов, осуществляющих деятельность через постоянное учреждение в стране.",35,38,7.683083625975996,4.945930807198885,0.7004844,0.65292066,0.6758668
6,"Возможность оплачивать налог за счет поступлений в бюджет. При этом налоговый режим не применяется к доходам от деятельности предприятия и налогооблагаемых ценах услуг, предоставляемым гражданам.","Специальный налоговый режим — это установленная Кодексом упрощённая система налогообложения и отчетности для отдельных категорий налогоплательщиков, направленная на снижение административной нагрузки.",29,49,9.023149787914008,5.430476180904443,0.68909526,0.69664675,0.6928504
7,"Только в том случае, если не были применены исключения. Вам нужно уплатить налог и подать декларацию.","Налоговая ответственность наступает в случае неуплаты налогов, несвоевременного предоставления налоговой отчетности, сокрытия доходов, неправомерного применения льгот или занижения налоговой базы.",31,31,6.187498036772013,5.010102599753316,0.6670004,0.649438,0.6581021
8,"На налоговое правонарушение выставляется штраф, начисляются проценты и возможна установка ареста на активы. Ассистент обязан будет подать уведомление об этом в налоговый орган.","В случае неуплаты налогов в срок образуется недоимка, на которую начисляется пеня. При дальнейшем уклонении возможно принудительное взыскание задолженности через меры обеспечения исполнения налогового обязательства.",32,53,9.94040393596515,5.331775282113225,0.7263269,0.7138857,0.7200526
9,"Недоимка по налогам — это сумма, которая не уплачена за определённый период. Если неуплаченные налоги начислены с убытков, а потом они отменены или возмещены, то наложенная сумма считается недоимкой.","Недоимка по налогам — это сумма налогов и обязательных платежей в бюджет, которая не была уплачена налогоплательщиком в установленный законодательством срок.",30,65,11.726029522251338,5.543223294522316,0.7679468,0.7722764,0.77010554
