idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
0,"Тот, кто уплачивает налог.","Налогоплательщик — это физическое или юридическое лицо, а также их структурные подразделения, на которых в соответствии с Налоговым кодексом возложена обязанность по уплате налогов и иных обязательных платежей в бюджет.",28,11,1.219093187712133,9.023100211595516,0.73121613,0.6213124,0.67179894
1,"Далее необходимо заполнить налоговые декларации по полученным доходам. Также необходимо подать уведомление об уплате налогов и принудительное взыскание. Если должника не встречается, налоговая проверка проводится и может привести к отстранению от деятельности и приговору к лишению статуса налогоплательщика.","Налоговое обязательство включает в себя обязанности налогоплательщика по исчислению, удержанию (если требуется), своевременной уплате налогов и предоставлению налоговой отчетности в установленный срок.",31,84,7.234640591777861,11.610804840183167,0.72225523,0.7485821,0.73518306
2,"Налогоплательщик имеет право подать отчетность, получение налоговой проверки и обжалование решений. Также имеет право на возврат уплаченных налогов. Решения по налогам могут быть обжалены в суде.","Налогоплательщик имеет право получать разъяснения налогового законодательства, защищать свои интересы, обжаловать действия налоговых органов, получать информацию о своих налоговых обязательствах и использовать налоговые льготы.",30,58,4.968583228066564,11.67334778098699,0.771635,0.7845,0.7780143
3,"Налогоплательщик обязан предоставить налоговому органу все необходимые документы. Также он обязан выслать информационные сведения, обоснование подоходного налога и уплаченный налог.","Налогоплательщик обязан своевременно и в полном объеме уплачивать налоги, предоставлять налоговую отчетность, хранить документы, подтверждающие исполнение налогового обязательства, и соблюдать требования законодательства.",35,50,4.506871473044157,11.09417037939793,0.7826001,0.75448596,0.76828593
4,"Налог на прибыль, НДС (налог на продажу), налоги социального обеспечения, налоги по доходам физических лиц.","Налоговым кодексом установлены налоги на доходы, налоги на имущество, налоги на потребление (например, НДС и акцизы), налоги на использование ресурсов (например, налог на землю) и специальные виды налогов.",39,33,3.2050610571168363,10.296215707567727,0.79466575,0.75155675,0.7725103
5,"КПН — обязательный налог, уплачиваемый организации за прибыль. Ограничений нет по размеру. Подавайте КПН на почту налогового органа и получаете подтверждение от Единого центра управления налогами (ЕЦН).","Корпоративный подоходный налог — это налог, взимаемый с доходов юридических лиц, резидентов Республики Казахстан, а также нерезидентов, осуществляющих деятельность через постоянное учреждение в стране.",35,63,5.462371807079762,11.533451442896272,0.6683061,0.68556297,0.67682457
6,Возможность налогового ускорения при условии соблюдения установленных ограничений.,"Специальный налоговый режим — это установленная Кодексом упрощённая система налогообложения и отчетности для отдельных категорий налогоплательщиков, направленная на снижение административной нагрузки.",29,21,1.8890715050511064,11.11657231811978,0.7073017,0.6799035,0.6933321
7,"Только в том случае, если не были применены меры защиты. В противном случае нет налоговой ответственности.","Налоговая ответственность наступает в случае неуплаты налогов, несвоевременного предоставления налоговой отчетности, сокрытия доходов, неправомерного применения льгот или занижения налоговой базы.",31,26,2.281161930412054,11.39770029184361,0.7254182,0.687923,0.7061732
8,Продолжение административного преследования и штраф. Необходимо уплатить задолженность за 1 месяц с момента прервания процедуры.,"В случае неуплаты налогов в срок образуется недоимка, на которую начисляется пеня. При дальнейшем уклонении возможно принудительное взыскание задолженности через меры обеспечения исполнения налогового обязательства.",32,42,3.651328276842833,11.502663364006215,0.7321528,0.6959634,0.7135995
9,"Недоимка по налогам — это сумма, которая не уплачена за определённый период. Если неуплаченные налоги перечислены в бюджет за период, то можно применять различные меры ответственности.","Недоимка по налогам — это сумма налогов и обязательных платежей в бюджет, которая не была уплачена налогоплательщиком в установленный законодательством срок.",30,52,4.408298261929303,11.795935054821372,0.79986095,0.7949197,0.7973827
10,"К налогу взимается штраф, заострение и выплата задолженности. Кредитор может требовать внесения дополнительного платежа или аресту активов.","При наличии задолженности применяются меры по обеспечению исполнения налогового обязательства: начисление пени, ограничение на распоряжение имуществом, принудительное взыскание через судебный порядок.",41,40,3.614329855889082,11.067058512887302,0.72158265,0.70599455,0.71370345
11,"Если налогоплательщик считает, что действия налогового органа противоречат закону или закономерно неожиданными. Например, если налоговый орган пришлось применить ставку налога за прошлый год в соответствии с правилами 2018 года, а предлагаемая ставка уже действует только с 1 января 2019 г., то налогоплательщик может обратиться в суд.",Налогоплательщик вправе подать жалобу в вышестоящий налоговый орган либо обратиться в суд для защиты своих прав и законных интересов в установленный законодательством срок.,37,94,8.086666168179363,11.624073263947189,0.70081663,0.7362533,0.7180981
12,В 10 дней от даты получения уведомления.,Жалоба на уведомление о результатах налоговой проверки должна быть подана в течение 30 календарных дней с момента его получения.,39,13,1.3492735838517549,9.634813988493764,0.8005729,0.70640296,0.75054556
13,"Налогоплательщик обязан отчитываться налоговыми органами за каждое финансовое положение. Ограничения могут быть установлены для определённого периода, а также в зависимости от вида деятельности. Например, налогоплательщики предприятий должны ежемесячно предоставлять отчеты о прибыли и расходах.","Принцип обязательности налогообложения означает, что каждый налогоплательщик обязан исполнять налоговые обязательства в полном объеме и в установленные сроки.",33,77,6.63349971268326,11.607749051797786,0.69463074,0.735023,0.7142562
14,"Патентная система налогообложения предусматривает льготную систему налогооблагаемости, предоставляющую право на сниженные или нулевые налоговые платежи при соблюдении установленных условий. Для получения льготы требуется подача заявления в установленный срок и предоставление соответствующих документов. При невыполнении условий возможна взыскание задолженности с последующим увеличением ставок.","Патентная система налогообложения — это специальный режим, при котором налогоплательщик уплачивает единый налог авансом, получая право на ведение определенных видов предпринимательской деятельности.",32,100,8.48150167800486,11.790364937300044,0.68265873,0.73941875,0.709906
15,"Средний штраф составляет 5 % от налоговой базы, минимальный — 2000 рублей. Если у податчика не будет налоговых обязательств за текущий год, он может быть обложен штрафом в размере 1 млн рублей.","За несвоевременное представление налоговой отчетности предусмотрен штраф, размер которого определяется в зависимости от срока просрочки и категории налогоплательщика.",43,60,5.269611988216639,11.386037555358117,0.6939932,0.6813923,0.68763506
16,При уведомлении налоговой инспекции о занижении налога в 10 % или большее. После этого налог подлежит взысканию.,"За занижение налоговой базы предусмотрена ответственность в виде начисления доначисленных сумм налога, пени и штрафа в установленном проценте от доначисленной суммы.",33,38,3.228824988938868,11.768987210572986,0.7092249,0.6827346,0.6957277
17,"Твой налог. Пеня — это взимаемая сумма с дохода. Согласно законодательству, если вы не отнесли доход в бюджет и он был вынужден зачислен на счет налогоплательщика, то вам будет назначена пеня. Кроме того, вы можете быть привлечены к ответственности по таковому решению.","Пеня — это денежная сумма, начисляемая за каждый день просрочки исполнения налогового обязательства, рассчитанная исходя из ставки рефинансирования Национального банка Республики Казахстан.",25,82,6.922403629869223,11.845596469726388,0.64547014,0.67208505,0.6585088
18,Нет. Разъяснения налогоплательщик обязан предоставить самостоятельно.,"Да, налогоплательщик вправе получить от налогового органа письменное или устное разъяснение по применению норм налогового законодательства.",40,18,1.6756243682466447,10.74226440072306,0.77675605,0.7032696,0.7381885
19,"Получение дохода от оказания услуг, продажи товаров и выполнения работ. Также подоходный налог платят заработная плата.","Обложению индивидуальным подоходным налогом подлежат доходы физических лиц, полученные в виде заработной платы, дивидендов, процентов, аренды, продажи имущества и прочие доходы.",39,34,3.0208119158633053,11.255252212643397,0.77812994,0.7327534,0.7547603
20,"Ассистенты, которые работают в качестве налогоплательщиков. Они имеют право облагаться налогом при минимальном доходе.",Упрощенный режим налогообложения могут применять субъекты малого бизнеса при соблюдении установленных законодательством критериев по доходам и количеству работников.,36,34,3.030267674010247,11.220130911737082,0.7227829,0.68540305,0.70359683
21,"Санкция закона о налоговой ответственности предусматривает штраф в размере от 100 до 300 тыс.рублей, лишение права занимать определенные должности или должность на срок до года и запрет на повторное нарушение.","За неуплату налогов в крупном размере может наступать уголовная ответственность, предусмотренная уголовным законодательством Республики Казахстан.",39,59,5.183036531787366,11.383288471565896,0.66000724,0.6874825,0.6734647
22,Налоговая обязанность налогового агента — это обязанность налогообложения. Это ответственность перед государством за нарушение налоговых требований.,"Налоговый агент обязан правильно исчислить, удержать и перечислить налоги, подлежащие удержанию у источника выплаты, в установленные сроки.",31,34,2.945918380748481,11.541392396404918,0.7262638,0.6561192,0.6894119
23,"Доходы учитываются в соответствии с законодательством страны, где расположен источник дохода. Если нет такого закона, применяются правила налогового режима, установленного для конкретной территории.","Доходы, полученные за рубежом, подлежат налогообложению в Республике Казахстан с учетом положений международных договоров об избежании двойного налогообложения.",33,44,3.8283023135736585,11.493345194812138,0.6903277,0.6887697,0.6895478
24,"Если НК и Договор не совпадают, применяется НК.","В случае противоречия норм Налогового кодекса международному договору применяются положения международного договора, ратифицированного Республикой Казахстан.",40,18,1.7748778122477231,10.141543195700113,0.69017637,0.6199124,0.65316015
25,"Налоговые льготы — это возможность облагать налог на 50 % или без уплаты налога. Это позволит экономить деньги и улучшить финансовое положение. Но есть условия, при которых эта льгота может не распространяться.","Налоговые льготы — это предоставляемые законом преимущества в виде освобождения от уплаты налогов, снижения ставок, предоставления вычетов или отсрочек.",28,55,4.592255807016045,11.976684729968884,0.72529125,0.74742544,0.73619205
26,"Форма 1СПН, налоговый выписка и другие.","Уплату налогов подтверждают платежные документы, лицевые счета налогоплательщиков, а также данные информационных систем налоговых органов.",32,18,1.6066281450912356,11.203588120247844,0.72389185,0.7069847,0.7153384
27,"Налогообложенный гражданин может обжаловать бездействие налогового органа, в том числе при наличии оснований для применения мер государственной ответственности.",Налогоплательщик вправе подать жалобу на бездействие должностного лица налогового органа в административном порядке или обратиться в суд.,39,39,3.4680063826963305,11.245654043369436,0.76782024,0.7850368,0.7763331
28,"Акциз — это налог, который взимается со всех сделок, совершаемых физическими лицами. Например, при покупке автомобиля или аренде жилья. Такой налог применяется для определенных видов доходов и может быть высоким.","Акциз — это косвенный налог на отдельные виды товаров, работ или услуг, перечень которых установлен законодательством Республики Казахстан.",26,59,4.998695611022413,11.80307916127191,0.6829795,0.72311413,0.70247406
29,"Фиксированный вычет — это налоговая сумма, которую необходимо заплатить до начала рассмотрения налоговой отчетности. Такой вычет не влияет на окончательный результат расчета. Фиксированным вычетом называется сумма, которая подлежит выплате в установленные сроки и при наличии налогового льготного режима.","Фиксированный вычет — это установленная законом сумма, которая уменьшает налогооблагаемый доход налогоплательщика при расчете налога.",30,84,7.187975015025586,11.686184192962306,0.7320016,0.791739,0.76069933
30,"Наличие налоговых правонарушений в системе ЕСН. Налоговые правонарушения могут быть любого рода — неисполнение платежей, превышение лимитов и т.д.","Налоговым правонарушением считается противоправное деяние налогоплательщика или налогового агента, за которое предусмотрена ответственность в соответствии с законодательством.",33,47,4.0096208355389535,11.72180660660461,0.67115384,0.68421793,0.677623
